type,name,x,y
block,BrownBlock1,270,420
block,BrownBlock1,300,420
block,BrownBlock1,270,450
block,BrownBlock1,300,450
block,BrownBlock1,0,420
block,BrownBlock1,30,420
block,BrownBlock1,60,420
block,BrownBlock1,90,420
block,BrownBlock1,120,420
block,BrownBlock1,150,420
block,BrownBlock1,180,420
block,BrownBlock1,210,420
block,BrownBlock1,240,420
block,BrownBlock1,330,420
block,BrownBlock1,360,420
block,BrownBlock1,390,420
block,BrownBlock1,420,420
block,BrownBlock1,450,420
block,BrownBlock1,480,420
block,BrownBlock1,510,420
block,BrownBlock1,540,420
block,BrownBlock1,570,420
block,BrownBlock1,600,420
block,BrownBlock1,630,420
block,BrownBlock1,660,420
block,BrownBlock1,690,420
block,BrownBlock1,720,420
block,BrownBlock1,750,420
block,BrownBlock1,780,420
block,BrownBlock1,810,420
block,BrownBlock1,840,420
block,BrownBlock1,870,420
block,BrownBlock1,900,420
block,BrownBlock1,930,420
block,BrownBlock1,960,420
block,BrownBlock1,990,420
block,BrownBlock1,1020,420
block,BrownBlock1,1050,420
block,BrownBlock1,1080,420
block,BrownBlock1,1110,420
block,BrownBlock1,1140,420
block,BrownBlock1,1170,420
block,BrownBlock1,1200,420
block,BrownBlock1,1230,420
block,BrownBlock1,1260,420
block,BrownBlock1,1290,420
block,BrownBlock1,1320,420
block,BrownBlock1,1350,420
block,BrownBlock1,1380,420
block,BrownBlock1,1410,420
block,BrownBlock1,1440,420
block,BrownBlock1,1470,420
block,BrownBlock1,1500,420
block,BrownBlock1,1530,420
block,BrownBlock1,1560,420
block,BrownBlock1,1590,420
block,BrownBlock1,1620,420
block,BrownBlock1,1650,420
block,BrownBlock1,1680,420
block,BrownBlock1,1710,420
block,BrownBlock1,1740,420
block,BrownBlock1,1770,420
block,BrownBlock1,1800,420
block,BrownBlock1,1830,420
block,BrownBlock1,1860,420
block,BrownBlock1,1890,420
block,BrownBlock1,1920,420
block,BrownBlock1,1950,420
block,BrownBlock1,1980,420
block,BrownBlock1,2010,420
block,BrownBlock1,2040,420
block,BrownBlock1,2070,420
block,BrownBlock1,2100,420
block,BrownBlock1,2130,420
block,BrownBlock1,2160,420
block,BrownBlock1,2190,420
block,BrownBlock1,2220,420
block,BrownBlock1,2250,420
block,BrownBlock1,2280,420
block,BrownBlock1,2310,420
block,BrownBlock1,2340,420
block,BrownBlock1,2370,420
block,BrownBlock1,2400,420
block,BrownBlock1,2430,420
block,BrownBlock1,2460,420
block,BrownBlock1,2490,420
block,BrownBlock1,2520,420
block,BrownBlock1,2550,420
block,BrownBlock1,2580,420
block,BrownBlock1,2610,420
block,BrownBlock1,2640,420
block,BrownBlock1,2670,420
block,BrownBlock1,3090,420
block,BrownBlock1,3120,420
block,BrownBlock1,3150,420
block,BrownBlock1,3180,420
block,BrownBlock1,3210,420
block,BrownBlock1,3240,420
block,BrownBlock1,3270,420
block,BrownBlock1,3300,420
block,BrownBlock1,3330,420
block,BrownBlock1,3360,420
block,BrownBlock1,3390,420
block,BrownBlock1,3420,420
block,BrownBlock1,3450,420
block,BrownBlock1,3480,420
block,BrownBlock1,3510,420
block,BrownBlock1,3540,420
block,BrownBlock1,0,450
block,BrownBlock1,30,450
block,BrownBlock1,60,450
block,BrownBlock1,90,450
block,BrownBlock1,120,450
block,BrownBlock1,150,450
block,BrownBlock1,180,450
block,BrownBlock1,210,450
block,BrownBlock1,240,450
block,BrownBlock1,330,450
block,BrownBlock1,360,450
block,BrownBlock1,390,450
block,BrownBlock1,420,450
block,BrownBlock1,450,450
block,BrownBlock1,480,450
block,BrownBlock1,510,450
block,BrownBlock1,540,450
block,BrownBlock1,570,450
block,BrownBlock1,600,450
block,BrownBlock1,630,450
block,BrownBlock1,660,450
block,BrownBlock1,690,450
block,BrownBlock1,720,450
block,BrownBlock1,750,450
block,BrownBlock1,780,450
block,BrownBlock1,810,450
block,BrownBlock1,840,450
block,BrownBlock1,870,450
block,BrownBlock1,900,450
block,BrownBlock1,930,450
block,BrownBlock1,960,450
block,BrownBlock1,990,450
block,BrownBlock1,1020,450
block,BrownBlock1,1050,450
block,BrownBlock1,1080,450
block,BrownBlock1,1110,450
block,BrownBlock1,1140,450
block,BrownBlock1,1170,450
block,BrownBlock1,1200,450
block,BrownBlock1,1230,450
block,BrownBlock1,1260,450
block,BrownBlock1,1290,450
block,BrownBlock1,1320,450
block,BrownBlock1,1350,450
block,BrownBlock1,1380,450
block,BrownBlock1,1410,450
block,BrownBlock1,1440,450
block,BrownBlock1,1470,450
block,BrownBlock1,1500,450
block,BrownBlock1,1530,450
block,BrownBlock1,1560,450
block,BrownBlock1,1590,450
block,BrownBlock1,1620,450
block,BrownBlock1,1650,450
block,BrownBlock1,1680,450
block,BrownBlock1,1710,450
block,BrownBlock1,1740,450
block,BrownBlock1,1770,450
block,BrownBlock1,1800,450
block,BrownBlock1,1830,450
block,BrownBlock1,1860,450
block,BrownBlock1,1890,450
block,BrownBlock1,1920,450
block,BrownBlock1,1950,450
block,BrownBlock1,1980,450
block,BrownBlock1,2010,450
block,BrownBlock1,2040,450
block,BrownBlock1,2070,450
block,BrownBlock1,2100,450
block,BrownBlock1,2130,450
block,BrownBlock1,2160,450
block,BrownBlock1,2190,450
block,BrownBlock1,2220,450
